Taille du tableau;Nombre de threads;Temps Sequentiel (s);Temps OpenMP (s);Temps Pthread (s)
10;1;0.000023;0.000079;0.000012
10;2;0.000023;0.000216;0.000011
10;4;0.000023;0.000439;0.000011
10;8;0.000023;0.007493;0.000011
10;16;0.000023;0.000752;0.000012
10;24;0.000023;0.000861;0.000012
10;48;0.000023;0.001780;0.000012
100;1;0.000034;0.000039;0.000025
100;2;0.000034;0.000228;0.000025
100;4;0.000034;0.000211;0.000032
100;8;0.000034;0.005617;0.000025
100;16;0.000034;0.000866;0.000025
100;24;0.000034;0.001311;0.000025
100;48;0.000034;0.002728;0.000026
1000;1;0.000383;0.000387;0.000159
1000;2;0.000383;0.00411;0.001905
1000;4;0.000383;0.000531;0.000493
1000;8;0.000383;0.007541;0.000425
1000;16;0.000383;0.000808;0.000354
1000;24;0.000383;0.001013;0.000369
1000;48;0.000383;0.002234;0.000368
10000;1;0.003015;0.001617;0.002020
10000;2;0.003015;0.002415;0.001964
10000;4;0.003015;0.002049;0.002111
10000;8;0.003015;0.003257;0.001249
10000;16;0.003015;0.003079;0.003737
10000;24;0.003015;0.003156;0.003423
10000;48;0.003015;0.005440;0.002940
100000;1;0.018540;0.018547;0.199000
100000;2;0.018540;0.021651;0.015189
100000;4;0.018540;0.016880;0.008408
100000;8;0.018540;0.018882;0.016060
100000;16;0.018540;0.013631;0.016771
100000;24;0.018540;0.016659;0.022960
100000;48;0.018540;0.022700;0.035204
1000000;1;0.219678;0.219410;0.236360
1000000;2;0.219678;0.140376;0.137846
1000000;4;0.219678;0.1255587;0.103484
1000000;8;0.219678;0.102441;0.133948
1000000;16;0.219678;0.082464;0.092748
1000000;24;0.219678;0.088869;0.294837
1000000;48;0.219678;0.077861;0.131344
10000000;1;2.568292;2.564808;2.768002
10000000;2;2.568292;1.473908;1.470160
10000000;4;2.568292;1.177107;1.085150
10000000;8;2.568292;0.892717;1.117797
10000000;16;2.568292;0.754185;0.924634
10000000;24;2.568292;0.738589;0.786672
10000000;48;2.568292;0.714466;0.709331
